artists,track_name
Gondwana,Felicidad
The Shins,Wonderful Christmastime
Tex Tex,Un Toque Mágico
Las Pastillas del Abuelo,Rompecabezas De Amor... - Live In Buenos Aires / 2016
Las Pastillas del Abuelo,Tantas Escaleras - Live In Buenos Aires / 2016
Saint Motel,My Type
Charlie Brown Jr.,Céu Azul
The Neighbourhood,Scary Love
Young the Giant,Mind Over Matter
The Strokes,Selfless
Bullet For My Valentine,Tears Don't Fall
The Score,Victorious
Living Colour,Cult of Personality
Nickelback,Burn It to the Ground
Soundgarden,Black Hole Sun
Nirvana,About A Girl
Bishop Briggs,White Flag
The Offspring,"You're Gonna Go Far, Kid"
The Servant,Orchestra
Charlie Brown Jr.,Vinheta: Beat Box II / Como Tudo Deve Ser - Ao Vivo
Matt Redman,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live"
Charlie Brown Jr.,Pontes Indestrutíveis
Drowning Pool,Mute
Patricio Rey y sus Redonditos de Ricota,Ella Debe Estar Tan Linda
Charlie Brown Jr.,Tudo Que Ela Gosta De Escutar - Ao Vivo
Los Tipitos,Se te nota
Patricio Rey y sus Redonditos de Ricota,Superlógico
Charlie Brown Jr.;Marcelo Nova,Hoje - Ao Vivo
Caifanes,Te Estoy Mirando
O Rappa,Rodo cotidiano - Ao vivo
Las Pastillas del Abuelo,Candombe de Resacas
Divididos,La Flor Azul
Os Paralamas Do Sucesso;Pitty,Tendo A Lua - Ao Vivo
Detonautas Roque Clube,Por Onde Você Anda?
Guasones,100 Años
The Adams,Pelantur
NX Zero,Pela Última Vez
Las Pastillas del Abuelo,Hasta Acá Nos Ayudó Dios!
Matthew West,Jingle Bells
Fountains Of Wayne,I Want An Alien For Christmas
Detonautas Roque Clube,Inferno são os outros
Fountains Of Wayne,The Man In The Santa Suit
Pulp,Sorted For E's & Wizz
Matthew West,"Come On, Christmas"
Los Caligaris,Aunque No Quiero
Los Rodriguez,A Los Ojos
Los Rodriguez,Dispara
Los Rodriguez,Senorita
Los Rodriguez,100 Pajaros Volando
Fountains Of Wayne,The Man In The Santa Suit
Los Rodriguez,Mi Enfermedad
Las Pastillas del Abuelo,Rompecabezas De Amor... - Live In Buenos Aires / 2016
Divididos,¿Qué Ves?
Divididos,Ala Delta
Interpuesto,Quien Te Cantara
The Neighbourhood,Baby Came Home 2 / Valentines
MGMT,Electric Feel
The 1975,Love It If We Made It
The 1975,TOOTIMETOOTIMETOOTIME
Crazy Town,Butterfly
RAC;Louis The Child,Passion
The 1975,I Always Wanna Die (Sometimes)
Empire of the Sun,Alive
Poets of the Fall,Cradled in Love
Hinder,Lips Of An Angel
Radiohead,Exit Music (For A Film)
Jimmy Eat World,The Middle
Radiohead,Weird Fishes/ Arpeggi
Young the Giant,Cough Syrup
Goodnight Fellows,Hopeless Romance
Red Hot Chili Peppers,Dani California
Watt White,Eye Of The Storm
Thousand Foot Krutch,Be Somebody
Audioslave,Be Yourself
Blur,Song 2 - 2012 Remaster
Alter Bridge,Metalingus
Phil Wickham,This Is Amazing Grace
Patricio Rey y sus Redonditos de Ricota,Fusilados por la Cruz Roja
Kari Jobe,In The Name Of Love - Recorded At Spotify Studios NYC
Charlie Brown Jr.,O Coro Vai Come - Ao Vivo
Ne Jupiter,Gökyüzüm Siyah Olsa Da
Kari Jobe,In The Name Of Love - Recorded At Spotify Studios NYC
Patricio Rey y sus Redonditos de Ricota,Toxi-Taxi
Charlie Brown Jr.,Tudo Pro Alto
Mancha De Rolando,Carolina
Charlie Brown Jr.;RZO,A Banca (Ratatá É Bicho Solto) - Ao Vivo
Kapanga,El Universal
Atreyu,Anger Left Behind
Charlie Brown Jr.,Quinta-Feira
Tan Bionica,Música
Babasónicos,Deléctrico
Fountains Of Wayne,I Want An Alien For Christmas
Comisario Pantera;Luis Humberto Navejas,Murasaki
Callejeros,Presión
Los Caligaris,Razón - En Vivo
Atreyu,Super Hero
Jeremy Camp,Jingle Bell Rock
Os Paralamas Do Sucesso,Lourinha Bombril
Semisonic,Closing Time
Kapanga,No Me Sueltes (Es Posible)
Jeremy Camp,Let It Snow
LCD Soundsystem;Soulwax,Get Innocuous! - Soulwax Remix
La 25,Chico Común
Las Pastillas del Abuelo;Alejandro Vazquez,Inercia
Charlie Brown Jr.,Confisco - Ao Vivo - Chegou Quem Faltava
Nickelback,Rockstar
MISSIO,Bottom Of The Deep Blue Sea
Phosphorescent,Song for Zula
The 1975,Chocolate
The 1975,The Sound
Lauren Daigle,Trust in You
Franz Ferdinand,Take Me Out
Pearl Jam,Black
Pearl Jam,Alive
Zayde Wølf,Gladiator
Phil Wickham,Living Hope
Megadeth,Symphony Of Destruction
O Rappa,Em busca do porrão - Versão 2
Matt Redman,The Heart Of Worship
O Rappa,Na horda - Ao vivo
Charlie Brown Jr.,Quinta-Feira - Ao Vivo
Charly García,Buscando un Símbolo de Paz
Catupecu Machu,Hechizos
Slank,Mawar Merah
LCD Soundsystem,Losing My Edge
Machine Head,Davidian
Detonautas Roque Clube,Quando o sol se for
Semisonic,Closing Time
Los Caballeros De La Quema,Otro Jueves Cobarde
The Wallflowers,One Headlight
Los Hermanos,Anna Júlia - Ao Vivo
Eels,"I Need Some Sleep - From ""Shrek 2"" Soundtrack"
Steve Earle,Go Amanda
Los Estramboticos,El Recuento de los Daños
White Zombie,Thunder Kiss '65
Jane's Addiction,Mountain Song
Los Hermanos,Primavera
Machine Head,Davidian
Los Bunkers,Canción para mañana
Eels,Everything's Gonna Be Cool This Christmas
Rend Collective;We The Kingdom,God Rest Ye Merry Gentlemen (Hallelujah)
Eels,"Christmas Is Going To The Dogs - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack"
White Zombie,More Human Than Human
The Wallflowers,One Headlight
Eels,"Christmas Is Going To The Dogs - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack"
White Zombie,"I'm Your Boogieman - From ""The Crow: City Of Angels"" Soundtrack"
Eels,Everything's Gonna Be Cool This Christmas
Eels,Everything's Gonna Be Cool This Christmas
LCD Soundsystem,Daft Punk Is Playing at My House
Rend Collective,Ding Dong Merrily On High (The Celebration's Starting)
Clutch,Texan Book of the Dead
Eels,Everything's Gonna Be Cool This Christmas
White Zombie,More Human Than Human
White Zombie,Thunder Kiss '65
White Zombie,"I'm Your Boogieman - From ""The Crow: City Of Angels"" Soundtrack"
The Neighbourhood,W.D.Y.W.F.M?
Pearl Jam,Last Kiss
The 1975,A Change Of Heart
The Score;blackbear,Dreamin (with blackbear)
Radiohead,Nude
Nirvana,Where Did You Sleep Last Night
The Seige,I Am Defiant
Incubus,Drive
A Rocket To The Moon,Ever Enough
The Strokes,Last Nite
No Doubt,Don't Speak
The Killers,Human
The Killers,Somebody Told Me
Nirvana,All Apologies
Lupa,Oi :)
Wolfmother,Joker And The Thief
Red Hot Chili Peppers,The Drummer
Barns Courtney,Fire
The Score,Head Up
Skillet,Not Gonna Die
Creed,My Sacrifice
Three Days Grace,Animal I Have Become
O Rappa;Maria Rita / 1134893,Rodo cotidiano (Participação especial Maria Rita) - Ao vivo acústico
Patricio Rey y sus Redonditos de Ricota,Blues de la Artillería
Café Tacvba,Las Batallas/Rarotonga - MTV Unplugged
Patricio Rey y sus Redonditos de Ricota,Ladrón de Mi Cerebro
Virus,Pecados para Dos
Caifanes,Piedra
Tan Bionica,Hola Noviembre
Los Piojos,Agua
Bombay Bicycle Club,Always Like This
Michael W. Smith,The Spirit Of Christmas - Medley
Fuel,Sunburn
Patricio Rey y sus Redonditos de Ricota,Todo Preso Es Político
Pato Fu,Ando Meio Desligado
Las Pelotas,Capitán América
Panteon Rococo,Que Pasará
Fuel,Won't Back Down
Steve Earle,Jerusalem
Type O Negative,I Don't Wanna Be Me
Enjambre,Ciencia De La Lluvia
Type O Negative,I Don't Wanna Be Me
The Dandy Warhols,Little Drummer Boy
No Te Va Gustar,Cielo De Un Solo Color
Estelares,Las Trémulas Canciones
Los Piojos,El Balneario de los Doctores Crotos
Serú Girán,Eiti-Leda (Remasterizado 2021)
La 25,Mil Canciones
Los Gardelitos,Nadie Cree en Mi Canción
Los Gardelitos,Sortilegio de Arrabal (En Vivo)
Dominic Fike,Vampire
The 1975,Sincerity Is Scary
The White Stripes;The Glitch Mob,Seven Nation Army - The Glitch Mob Remix
Toploader,Dancing in the Moonlight
The 1975,Part Of The Band
X Ambassadors;Erich Lee,Unsteady - Erich Lee Gravity Remix
Rammstein,Du hast
Zayde Wølf,Heroes
Bea Miller,S.L.U.T.
Future Royalty,The Best
I DONT KNOW HOW BUT THEY FOUND ME,Choke
grandson,Blood // Water
Adam Jensen,The Hunter
The Strokes,Reptilia
Skillet,Comatose
Nirvana,Rape Me
Black Veil Brides,In The End
Slayer,Delusions of Saviour
Porcupine Tree,Arriving Somewhere But Not Here
Birileri,...aynı yer
The Offspring,The Kids Aren't Alright
Los Caligaris,Olvidar
La Portuaria,Perfidia
Las Pastillas del Abuelo,La Casada
Matt Redman;Chris Tomlin,Angels (Singing Gloria)
Patricio Rey y sus Redonditos de Ricota,Perdiendo el Tiempo
No Te Va Gustar,La Única Voz
Jóvenes Pordioseros,Lobo
Michael W. Smith;Lady Antebellum,White Christmas
Siouxsie and the Banshees,Spellbound
Michael W. Smith,Happy Holiday / Holiday Season - Medley
Los Hermanos,Além do Que Se Vê
El Cuarteto De Nos,Que Empiece el Juego
Siouxsie and the Banshees,Halloween
La Verbena Popular,Hiereme
Siouxsie and the Banshees,Spellbound
Celso Piña,Dile
Siouxsie and the Banshees,Halloween
Siouxsie and the Banshees,Halloween
Los Caligaris,Bolso Gris
Siouxsie and the Banshees,Halloween
Estelares,Rimbaud
Panteon Rococo,Esta Noche - En Vivo
Siouxsie and the Banshees,Halloween
Enjambre,Y La Esperanza
Los Gardelitos,Cobarde para Amar
Enjambre,Eliza Mi Hortaliza
Luis Alberto Spinetta,Rezo Por Vos
Enjambre,Rosa Náutica (Del Piso)
Los Auténticos Decadentes;Fernando Ruiz Diaz,Un Osito de Peluche de Taiwán (feat. Fernando Ruiz Díaz) - Vivo en el Palacio de los Deportes
The Neighbourhood,A Little Death
Foreign Air,Free Animal
grandson;Jessie Reyez,Rain (from The Suicide Squad)
Blonde Redhead,For the Damaged Coda
The Neighbourhood;Young Saab,Sweater Weather - Young Saab Remix
Bea Miller,like that
The Strokes,Ode To The Mets
Zayde Wølf,Hustler
KALEO,All the Pretty Girls
Palaye Royale,Fever Dream
3 Doors Down,Here Without You - Acoustic Version
Wolf Alice,Don’t Delete The Kisses
Red Hot Chili Peppers,Tippa My Tongue
Radiohead,Paranoid Android
The Score,Can You Hear Me Now
Foo Fighters,Learn to Fly
Büyük Ev Ablukada,BENİM KAFAM SİKTİRMİŞ GİTMİŞ
Porcupine Tree,Trains - Remastered
Ciro y los Persas,Por Cel
Conociendo Rusia,Cicatriz
Os Paralamas Do Sucesso,Uns Dias
Birileri,Aşık Olmamam Gerek - Canlı Akustik
NX Zero,Hoje O Céu Abriu
Los Tipitos,Silencio - En Vivo
Babasónicos,Estertor
Patricio Rey y sus Redonditos de Ricota,El Arte del Buen Comer
Efek Rumah Kaca,Balerina
Los Caligaris;Pedro Fernández,Vivir Así Es Morir de Amor
La Franela,Lo Que Me Mata
No Te Va Gustar;Draco Rosa,Poco
Bersuit Vergarabat,Porno Star
Soda Stereo,Camaleón - Remasterizado 2007
Las Pastillas del Abuelo,Me Juego el Corazón?
Patricio Rey y sus Redonditos de Ricota,Buenas Noticias
The Screaming Jets,Helping Hand - Remastered
Los Estramboticos,Oír Tu Voz
La Vela Puerca,Para No Verme Más - En Vivo
Pato Fu,Canção Pra Você Viver Mais
Siouxsie and the Banshees,Spellbound
Mastodon,Teardrinker
Mastodon,Teardrinker
Siouxsie and the Banshees,Spellbound
La 25,Chica Suburbana
Panteon Rococo;Santa Fe Klan,Hasta Que Te Conocí
Enjambre,Falacia
La 25,Escombro En La Ciudad
Juan Ingaramo,Por Amarte
Panteon Rococo,Te Vas a Acordar de Mí
Mastodon,Teardrinker
Los Gardelitos,Mezclas Raras
The Neighbourhood,Prey
Deftones,Change (In the House of Flies)
Audioslave,Like a Stone
Radiohead,How to Disappear Completely
Foo Fighters,Best of You
The Score,Who I Am
Adam Jensen,Street Fight
Lauren Daigle,Rescue
Zayde Wølf,Cold-Blooded
Bea Miller,Playground (from the series Arcane League of Legends)
Saint Chaos;Sam Tinnesz,Walk
Red Hot Chili Peppers,Fake as Fu@k
The Struts,Could Have Been Me
Red Hot Chili Peppers,Eddie
Red Hot Chili Peppers,Bella
Red Hot Chili Peppers,Roulette
Duman,Akıbet
Red Hot Chili Peppers,In the Snow
Pantera,Walk
The Black Keys,Howlin' for You
Red Hot Chili Peppers,Reach Out
Skillet,Legendary
Emmanuel Horvilleur;Zoe Gotusso,Amor Loco
Megadeth,Tornado Of Souls - Remastered 2004
Ashes Remain,End of Me
Andrés Calamaro,Tuyo siempre
Tan Bionica,La Ensalada
División Minúscula,Laberintos
Gondwana,Antonia
Skank,Tanto (I Want You) - Ao Vivo
Cuca,La Balada
Los Fabulosos Cadillacs,Carmela - Remasterizado 2008
Los Fabulosos Cadillacs,Radio Kriminal - Remasterizado 2008
Static-X,Looks That Kill
Las Pastillas del Abuelo,Cerveza
La Gusana Ciega,"Vivir Así, Es Morir de Amor"
Static-X,Cold
Newsboys,The Christmas Song
Dorothy,Wicked Ones
Enjambre,Impacto
Pescado Rabioso,Me Gusta Ese Tajo
Fernando Delgadillo,Noche Sin Luciérnagas
Newsboys,All I Want For Christmas Is You
The Presidents Of The United States Of America,Cleveland Rocks
Enjambre,Sanguijuela
Enjambre,En Tu Día
La Vela Puerca;Emiliano Brancciari,Zafar - En Vivo
Las Pastillas del Abuelo,Absolutismos
Panteon Rococo,La Distancia
Estelares,Melancolía
Seether;Amy Lee,Broken
Alice In Chains,Nutshell
Neon Trees,Animal
Marilyn Manson,Sweet Dreams (Are Made Of This)
The Score,In My Bones
The Score;XYLØ,Bulletproof (with XYLØ)
Three Days Grace,Time of Dying
for KING & COUNTRY,God Only Knows
Skillet,Whispers in the Dark
The Score,Enemies
Gece,22
Red Hot Chili Peppers,Carry Me Home
Red Hot Chili Peppers,La La La La La La La La
grandson,Darkside
Nirvana,In Bloom
Red Hot Chili Peppers,Afterlife
TOOL,The Pot
Fountains Of Wayne,Stacy's Mom
Red Hot Chili Peppers,Handful
Red Hot Chili Peppers,Bag of Grins
Red Hot Chili Peppers,Shoot Me a Smile
Ratones Paranoicos,La Nave
Zoé,Arrullo De Estrellas
Sanctus Real,My God Is Still The Same
Inhaler,Totally
Conociendo Rusia,La Luna
Yaşlı Amca,Sanki Yapamadım
The Black Keys,Wild Child
Alice In Chains,Man in the Box
Yüzyüzeyken Konuşuruz,Kendi Evimde Deplasmandayım
Zoé,Últimos Días
Los Bunkers,Miño
Luis Alberto Spinetta,No Te Alejes Tanto De Mí
Ximena Sariñana,Sin Ti No Puede Estar Tan Mal
Los Daniels,Te Puedes Matar
Inhaler,Cheer Up Baby
Marilina Bertoldi,Es Poderoso
Los Caligaris,Tyson
Detonautas Roque Clube,Melhor Plantar o Bem
Joe Vasconcellos,Ciudad Traicionera
Molotov,Payaso
Anthrax,Medusa
Caifanes,Será por Eso
Anthrax,Indians
Detonautas Roque Clube,Só por hoje / Tenis Roque
Panteon Rococo,Veinticinco Rosas
Enjambre,Homografobia
Fidel Nadal,Necesito Tu Amor
Serú Girán,Mundo Agradable
Anthrax;Public Enemy,Bring The Noise
Saint Motel,My Type
half•alive,still feel.
MGMT,Time to Pretend
Peter Bjorn and John,Young Folks
The Killers,When You Were Young
Rammstein,Sonne
Chris Cornell,"You Know My Name - From ""Casino Royale"" Soundtrack"
Red Hot Chili Peppers,By the Way
Pearl Jam,Even Flow
Rage Against The Machine,Bulls On Parade
LOUTA,DECIME QUE ES VERDAD
Rammstein,Deutschland
Palaye Royale,Lonely
Hillsong UNITED;Brooke Ligertwood,Hosanna
Radiohead,Jigsaw Falling Into Place
İnsan Mıyız,Seni Senden
Sleeping Wolf,New Kings
TOOL,Schism
Red Hot Chili Peppers,Copperbelly
The Score,The Champion
Gece,Derbeder
Patricio Rey y sus Redonditos de Ricota,Ella Baila Con Todos
Sick Puppies,You're Going Down
Batu Akdeniz,Ona Gitme
Bandalos Chinos,Cállame
Camilo Séptimo;Samantha Barrón,Ciclones
O Rappa,Uma vida só - Ao vivo
Conociendo Rusia,Montaña Infinita
Andrés Calamaro,Mi gin tonic
NX Zero,Maré
Charlie Brown Jr.,Só pra vadiar
Slank,Orkes Sakit Hati
Los Caligaris,Razón - En Vivo
Inspector;Panteon Rococo,Amargo Adios
Skank;Michael Fossenkemper,Tão Seu
Babasónicos,El Maestro - En Vivo
The Adams,Waiting
Estelares,Ríos de Lava
Sepultura,Arise
La 25,De Paso Nomás
Skay Beilinson,Aves Migratorias
Los Auténticos Decadentes,Pendeviejo
Marilina Bertoldi,Sushi en Lata
Lucybell,Sembrando En El Mar
Guasones,Como un Lobo
Panteon Rococo,Nada Pasó
Los Caligaris,A Vos
Sepultura,Roots Bloody Roots
Patricio Rey y sus Redonditos de Ricota,La Murga de la Virgencita
Serú Girán,Canción De Alicia En El País - Remastered 2012
The Neighbourhood,Daddy Issues
Amaarae;Kali Uchis;Moliy,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)
The Neighbourhood,Softcore
The Neighbourhood,Sweater Weather
GAYLE,abcdefu
THE ANXIETY;WILLOW;Tyler Cole,Meet Me At Our Spot
Linkin Park,In the End
Linkin Park,Numb
Bella Poarch,Build a Bitch
Oliver Tree,Life Goes On
Bella Poarch,Living Hell
The Score,Unstoppable
grandson,Blood // Water
Slipknot,Yen
Red Hot Chili Peppers,Tippa My Tongue
Gorillaz,Clint Eastwood
Red Hot Chili Peppers,Black Summer
Red Hot Chili Peppers,Californication
The Killers,Mr. Brightside
Red Hot Chili Peppers,Black Summer
Red Hot Chili Peppers,Nerve Flip
The Killers;Phoebe Bridgers,Runaway Horses - Abridged
Red Hot Chili Peppers,Higher Ground - Remastered
The Killers;Armin van Buuren;Benno De Goeij,Human - Armin van Buuren Dub Remix
The Killers;Toni Halliday,A Great Big Sled
Red Hot Chili Peppers,By the Way
The Killers,When You Were Young
Red Hot Chili Peppers,Tippa My Tongue
Red Hot Chili Peppers,Tippa My Tongue
The Killers;Ryan Pardey,Don't Shoot Me Santa
Gorillaz;Beck,The Valley of the Pagans
The Killers,Somebody Told Me
Red Hot Chili Peppers,Black Summer
The Killers;Toni Halliday,A Great Big Sled
The Killers,Mr. Brightside
The Killers;Ryan Pardey,Don't Shoot Me Santa
Red Hot Chili Peppers,Black Summer
The Killers,Mr. Brightside
Red Hot Chili Peppers,Nerve Flip
The Killers;Ryan Pardey,Don't Shoot Me Santa
Gorillaz,Clint Eastwood
The Killers,Mr. Brightside
The Killers;Ryan Pardey,Don't Shoot Me Santa
The Killers;Ryan Pardey,Don't Shoot Me Santa
The Killers;Ryan Pardey,Don't Shoot Me Santa
The Killers,Joy Ride - Night Version
Slipknot,Duality
Red Hot Chili Peppers,Fire - Remastered
Slipknot,The Dying Song (Time to Sing)
Slipknot,Duality
MGMT,Little Dark Age
KALEO,Way down We Go
Nirvana,Something In The Way
Linkin Park,What I've Done
WALK THE MOON,Shut Up and Dance
Oliver Tree;Robin Schulz,Miss You
Oliver Tree;Robin Schulz,Miss You
Oliver Tree;Robin Schulz,Miss You
Oliver Tree,Life Goes On
Nirvana,Smells Like Teen Spirit
Oliver Tree,I Hate You
Oliver Tree,I Hate You
Oliver Tree,I Hate You
Oliver Tree,Life Goes On
Oliver Tree,Life Goes On
Oliver Tree,Life Goes On
Oliver Tree,Life Goes On
Oliver Tree,Cowboys Don't Cry
Dominic Fike;Zendaya,"Elliot’s Song - From ""Euphoria"" An HBO Original Series"
Oliver Tree,Placeholder
Oliver Tree,Placeholder
Oliver Tree,Placeholder
Nickelback,Animals
Florence + The Machine,Stand By Me
Florence + The Machine,The Bomb
Florence + The Machine,Seven Devils
Avenged Sevenfold,Hail to the King
Deftones,Ohms
Mon Laferte,Salvador
Florence + The Machine,Howl
Florence + The Machine,Seven Devils
Florence + The Machine,Howl
Florence + The Machine,Girl With One Eye
Florence + The Machine,Girl With One Eye
Florence + The Machine,Howl
Florence + The Machine,You've Got The Love
Florence + The Machine,Girl With One Eye
Julieta Venegas,Limón y Sal
Korn,Rotting in Vain
Mon Laferte,Amor Completo
The Offspring,Christmas (Baby Please Come Home)
Florence + The Machine,Seven Devils
Florence + The Machine,Howl
Mon Laferte,Tu Falta De Querer
Avenged Sevenfold,Hail to the King
Deftones,Ohms
Mon Laferte;Juanes,Amárrame
Mon Laferte,Cuando Era Flor
Mon Laferte;Guaynaa,Plata Ta Tá
Korn,Rotting in Vain
The Neighbourhood,You Get Me So High
Justine Skye;Tyga,Collide (feat. Tyga)
Linkin Park,CASTLE OF GLASS
Evanescence,Haunted
The Score,Born For This
R.E.M.,Losing My Religion
Weezer,Say It Ain't So
Skillet,Surviving the Game
Evanescence,Bring Me To Life
Evanescence,Bring Me To Life
Weezer,Say It Ain't So
Weezer,Records
Disturbed,Hey You
Evanescence,Bring Me To Life
Disturbed,Hey You
Weezer,Say It Ain't So
Mon Laferte,Zombie
Disturbed,If I Ever Lose My Faith In You
Weezer,Records
Weezer,Buddy Holly
Weezer,Records
Weezer,Records
Weezer,Buddy Holly
Skillet,Feel Invincible
Weezer,Island In The Sun
Weezer,O Come All Ye Faithful
Disturbed,Land of Confusion
Weezer;AJR,All My Favorite Songs
Weezer,O Holy Night
The Smashing Pumpkins,Christmastime
Mon Laferte,Amor Completo
Weezer;AJR,All My Favorite Songs
Disturbed,Hey You
Skillet,Surviving the Game
Mon Laferte,Antes De Ti
Weezer,O Come All Ye Faithful
Skillet,Surviving the Game
Disturbed,If I Ever Lose My Faith In You
The Smashing Pumpkins,Christmastime
Weezer,O Come All Ye Faithful
Weezer,My Name Is Jonas
The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012
Mon Laferte;Enrique Bunbury,Mi Buen Amor
Mon Laferte;Enrique Bunbury,Mi Buen Amor
Mon Laferte,Paisaje Japonés
Skillet,Feel Invincible
Weezer,We Wish You A Merry Christmas
Weezer,We Wish You A Merry Christmas
Weezer,We Wish You A Merry Christmas
Weezer,We Wish You A Merry Christmas
The Neighbourhood,Reflections
The 1975,Somebody Else
Amaarae;Moliy,SAD GIRLZ LUV MONEY
Amaarae;Kali Uchis;Moliy;xxtristanxo,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) - Slowed + Reverb
Radiohead,Creep
The Score,Legend
Bella Poarch,Dolls
GAYLE,abcdefu (angrier)
Hoobastank,The Reason
GAYLE,ur just horny
GAYLE,ur just horny
GAYLE,god has a sense of humor
GAYLE,abcdefu
GAYLE,abcdefu (chill)
GAYLE,indieedgycool
GAYLE,abcdefu (angrier)
GAYLE,god has a sense of humor
GAYLE,abcdefu
GAYLE,abcdefu
GAYLE,abcdefu (chill)
GAYLE,abcdefu
GAYLE,abcdefu
GAYLE,abcdefu
GAYLE,indieedgycool
GAYLE,abcdefu
GAYLE,abcdefu
GAYLE,god has a sense of humor
GAYLE,abcdefu
GAYLE;The Wild,abc - The Wild Remix
GAYLE;The Wild,abc - The Wild Remix
GAYLE;The Wild,abc - The Wild Remix
GAYLE,indieedgycool
GAYLE;The Wild,abc - The Wild Remix
GAYLE,indieedgycool
GAYLE,abcdefu (angrier)
GAYLE,indieedgycool
GAYLE,abcdefu (angrier)
GAYLE;The Wild,abc - The Wild Remix
Evanescence,Bring Me To Life
Evanescence,Bring Me To Life
Zoé,Azul
Evanescence,Bring Me To Life
Evanescence,Haunted
Zoé,Labios Rotos - En Vivo
Evanescence,Bring Me To Life
Evanescence,Bring Me To Life
Zoé,Arrullo De Estrellas
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine)
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine)
Zoé,Poli / Love - En Vivo
The Neighbourhood;Syd,Daddy Issues (Remix) feat. Syd
Evanescence,Bring Me To Life
The 1975,Robbers
DJ Shadow;Mos Def,Six Days - Remix
Linkin Park;Kiiara,Heavy (feat. Kiiara)
Justine Skye;Tyga,Collide (Sped Up Remix)
Qveen Herby,Sugar Daddy
Higuchi Ai,Akuma no Ko
Crystal Castles,Transgender
THE ANXIETY;WILLOW;Tyler Cole,Meet Me At Our Spot - Live
Linkin Park,BURN IT DOWN
The Score,Born For This
Avenged Sevenfold,Dear God
Skillet,Monster
Royal & the Serpent,overwhelmed
Higuchi Ai,Akuma no Ko
Red Hot Chili Peppers,Californication
The White Stripes,Seven Nation Army
Radiohead,No Surprises
MARINA,Bubblegum Bitch
Thousand Foot Krutch,Courtesy Call
Ashes Remain,On My Own
Freddie Gibbs;Moneybagg Yo,Too Much
Freddie Gibbs;Moneybagg Yo,Too Much
Freddie Gibbs;Moneybagg Yo,Too Much
Freddie Gibbs;Moneybagg Yo,Too Much
3 Doors Down,It's Not My Time - Acoustic
X Ambassadors;Jensen McRae,skip.that.party
3 Doors Down,Here Without You
3 Doors Down,Kryptonite
Shinedown,Planet Zero
Breaking Benjamin,Blood
3 Doors Down,Kryptonite
Marilyn Manson,The Beautiful People
Shinedown,Planet Zero
Shinedown,Planet Zero
Volbeat,The Devil's Bleeding Crown
Volbeat,Sorry Sack Of Bones
Volbeat,The Devil's Bleeding Crown
Shinedown,Planet Zero
Marilyn Manson,Sweet Dreams (Are Made Of This)
Shinedown,Planet Zero
Volbeat,The Devil's Bleeding Crown
Los Enanitos Verdes,Lamento Boliviano
Shinedown,Planet Zero
Volbeat,Heaven Nor Hell
Volbeat,The Devil's Bleeding Crown
Los Enanitos Verdes,Igual Que Ayer
Los Enanitos Verdes,Mi Primer Dia Sin Ti
Los Enanitos Verdes,Eterna Soledad
The Neighbourhood,The Beach
The Neighbourhood,Stargazing
Hillsong UNITED;TAYA,Oceans (Where Feet May Fail)
Gorillaz;Tame Impala;Bootie Brown,New Gold (feat. Tame Impala and Bootie Brown)
The 1975,I'm In Love With You
Gorillaz,Feel Good Inc.
System Of A Down,Chop Suey!
The Killers,Mr. Brightside
Linkin Park,Battle Symphony
Red Hot Chili Peppers,Snow (Hey Oh)
Linkin Park,Somewhere I Belong
The Score,Revolution
Linkin Park,One Step Closer
Linkin Park,Faint
Nirvana,Come As You Are
Skillet,Feel Invincible
Marilyn Manson,アイ・プット・ア・スペル・オン・ユー
Counting Crows,A Long December
Counting Crows,A Long December
Counting Crows,A Long December
Counting Crows,A Long December
Counting Crows,Mr. Jones
Marilyn Manson,I Put A Spell On You
Marilyn Manson,The Beautiful People
Counting Crows,Hanginaround
Marilyn Manson,WE ARE CHAOS
Marilyn Manson,The Beautiful People
Counting Crows,Mr. Jones
Counting Crows,Mr. Jones
Marilyn Manson,The Beautiful People
Marilyn Manson,You And Me And The Devil Makes 3
Counting Crows;Vanessa Carlton,Big Yellow Taxi
Marilyn Manson,The Beautiful People
Counting Crows;Vanessa Carlton,Big Yellow Taxi
Marilyn Manson,You And Me And The Devil Makes 3
Marilyn Manson,The Fight Song
Marilyn Manson,I Put A Spell On You
Megadeth,"The Sick, The Dying… And The Dead!"
Marilyn Manson,Sweet Dreams (Are Made Of This)
Marilyn Manson,Sweet Dreams (Are Made Of This)
Marilyn Manson,Sweet Dreams (Are Made Of This)
Megadeth,Symphony Of Destruction
The Black Keys,Keep My Name Outta Your Mouth
The Black Keys,Never Gonna Give You Up
Marilyn Manson,Sweet Dreams (Are Made Of This)
Megadeth,Symphony Of Destruction
Marilyn Manson,The Beautiful People
Megadeth,Holy Wars...The Punishment Due - Remastered
Queens of the Stone Age,Burn The Witch
Megadeth,Holy Wars...The Punishment Due - Remastered
